ID,Title,Genre,Tags,Synopsis,Rank,Popularity,Score,Episodes,Duration,Watchers,Start_date,End_date,Day_aired,Main Role
1,Move to Heaven,"Life, Drama","Uncle-Nephew Relationship, Autism, Death, Savant Syndrome, Mourning, Tearjerker, Life Lesson, Cleaning And Organizing, Autism Spectrum Disorder, Murder","Han Geu Roo is a 20-year-old with Autism. He works for his father’s business “Move To Heaven,” a company that specializes in crime scene cleanup, where they also collect and arrange items left by deceased people, and deliver them to the bereaved family.
When Geu Roo's father dies, Geu Roo's guardianship passes to his uncle, ex-convict Cho Sang Gu, who is a martial arts fighter in underground matches. Per the father's will, Sang Gu must care for and work with Geu Roo in “Move To Heaven” for three months to gain full guardianship and claim the inheritance. Eying money, Sang Gu agrees to the conditions and moves in.",8,94,9.2,10,52,"64,103",5/14/2021,,Friday,"Lee Je Hoon, Tang Jun Sang, Hong Seung Hee"
2,Weak Hero Class 1 ,"Action, Youth, Drama","Smart Male Lead, Bromance, School Bullying, Violence, Friendship, High School, Skilled Fighter, Adapted From A Webtoon, School Setting, Fight","Yeon Shi Eun is a model student who ranks at the top of his high school. Physically, Yeon Shi Eun appears weak, but by using his wits and psychology, he fights against the violence that takes place inside and outside of his school.",12,290,9.1,8,40,"32,415",11/18/2022,,Friday,"Park Ji Hoon, Hong Kyung, Choi Hyun Wook, Kim Su Gyeom"
3,Hospital Playlist Season 2 ,"Romance, Life, Drama, Medical","Multiple Mains, Band, Music, Strong Female Lead, Multiple Couples, Comedy, Smart Female Lead, Bromance, Cardiovascular Disease, Workplace Setting","Everyday is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist.",14,177,9.1,12,100,"43,574",6/17/2021,9/16/2021,Thursday,"Jo Jung Suk, Jung Kyung Ho, Jeon Mi Do, Yoo Yeon Seok, Kim Dae Myung"
4,Flower of Evil ,"Thriller, Romance, Crime, Melodrama","Deception, Family Secret, Mystery, Suspense, Smart Female Lead, Hidden Personality, Antisocial Personality Disorder, Investigation, Murder, Hidden Identity","Although Baek Hee Sung is hiding a dark secret surrounding his true identity, he has established a happy family life and a successful career. He is a loving husband and doting father to his young daughter. But his perfect façade begins to crumble when his wife, Cha Ji Won, a homicide detective, begins investigating a string of serial murders from 15 years ago. Ji Won notices changes in Hee Sung’s behavior and begins to wonder if he could possibly be hiding something from her.",16,31,9.1,16,70,"94,811",7/29/2020,9/23/2020,"Wednesday, Thursday","Lee Joon Gi, Jang Hee Jin, Moon Chae Won, Seo Hyun Woo"
5,Hospital Playlist ,"Romance, Life, Drama, Medical","Nice Male Lead, Multiple Mains, Slow Romance, Multiple Couples, Strong Female Lead, Slight Romance, Nice Female Lead, Bromance, Heartfelt, Healing","The stories of people going through their days are seemingly ordinary but actually special at the hospital, a place known as the microcosm of life, where someone is being born and someone's life meets its ending. The five doctors are long-time friends of 20 years who started their undergrad in 1999 in the same medical school and now are colleagues in the same hospital and have a band together.",17,51,9.1,12,90,"81,568",3/12/2020,5/28/2020,Thursday,"Jo Jung Suk, Jung Kyung Ho, Jeon Mi Do, Yoo Yeon Seok, Kim Dae Myung"
6,Alchemy of Souls ,"Action, Historical, Romance, Fantasy","Transmigration, Strong Female Lead, Master-Disciple Relationship, Kind Male Lead, Multiple Mains, Supernatural, Magical Power, Hidden Identity, Body Swap, Elemental Power","Set in a fictional country called Daeho that does not exist in history or on maps, it is about the love and growth of young mages as they overcome their twisted fates due to a forbidden magic spell known as the ""alchemy of souls"", which allows souls to switch bodies.
It follows the story of an elite assassin named Naksu, whose soul is accidentally trapped inside the weak body of Mu Deok—Jang Uk's servant from a powerful and noble mage family in the country. The young master of the Jang Family, Jang Uk, holds a dark secret about his scandalous birth. He wants the formidable assassin to help change his destiny.",19,112,9.1,20,80,"58,576",6/18/2022,8/28/2022,"Saturday, Sunday","Lee Jae Wook, Hwang Min Hyun, Yoo Joon Sang, Jung So Min, Shin Seung Ho, Oh Na Ra"
7,Reply 1988 ,"Comedy, Romance, Life, Youth","Nostalgia, Multiple Couples, Poor Family, Love Triangle, Heartfelt, High School, Friendship, Mother-Son Relationship, Coming Of Age, Bromance ","Five childhood friends, who all live in the same Ssangmundong neighborhood of Seoul, lean on each other to survive their challenging teen years and set a path for their futures. Sung Deok Sun struggles for attention as the middle child in her poor family while also carrying the burden of her 999th ranking in school. Kim Jung Hwan only has a one-track mind for soccer, even after his family becomes rich overnight. Sung Sun Woo is the perfect student, student council president and a caring and dependable son in his family. Ryu Dong Ryong is a geek who knows more about girls and life than the rest of his friends, but his poor academic score prevents him from being able to go to college. Choi Taek is a genius baduk player who dropped out of school to go professional. As the group of friends gets into and out of mischief around the neighborhood, what experiences from these memorable times together will they carry with them into their future lives?",21,42,9.1,20,95,"85,986",11/6/2015,1/16/2016,"Friday, Saturday","Lee Hye Ri, Ryu Joon Yeol, Lee Dong Hwi, Go Kyung Pyo, Park Bo Gum"
8,My Mister ,"Psychological, Life, Drama","Nice Male Lead, Depression, Healing, Poor Female Lead, Strong Female Lead, Infidelity, Lying, Power Struggle, Deception, Grandma-Granddaughter Relationship","Park Dong Hoon is a middle-aged engineer who is married to attorney Kang Yoon Hee. However, his life is not that happy as he has two unemployed brothers, Sang Hoon and Gi Hoon, who rely on him. Moreover, his wife is secretly having an affair with CEO Do Joon Yeong, his current boss and college junior.
Receiving an unexpected bribe one day, Dong Hoon notices that his co-worker Lee Ji An witnessed the incident. Ji An is a young part-time worker at Dong Hoon's company who is drowning in debt and left alone to take care of her ill grandmother. Dong Hoon then gets entangled in his brothers' struggle to get back on their feet and the company's internal rivalry between the company's CEO and the people opposing him. All the while, unaware that CEO Joon Yeong wants to get rid of him and that Ji An is working for him.",26,104,9,16,77,"60,644",3/21/2018,5/17/2018,"Wednesday, Thursday","Lee Sun Kyun, IU"
9,The Glory Part 2 ,"Thriller, Drama, Melodrama","Strong Female Lead, Revenge, Suspense, Brief Nudity, Badass Female Lead, Graphic Violence, Hardworking Female Lead, Slight Romance, Scheme, Noir ","Moon Dong Eun's silent fury against those students that horrifically abused her during her high school years continues to burn inside of her. She meticulously executes her plan to inflict ultimate pain on her tormentors. Meanwhile, the sudden disappearance of Son Myeong Oh has gotten the attention of the police and his friends. Joo Yeo Jeong follows Moon Dong Eun and is willing to do anything she asks in her pursuit of revenge. Before Moon Dong Eun begins her final moves, she offers her nemesis Park Yeon Jin a chance to save herself if she turns in to the police, but Park Yeon Jin has her own plans to stop Moon Dong Eun. A violent and bloody game of nerves plays out between these rivals.",27,573,9,8,55,"19,698",3/10/2023,,Friday,"Song Hye Kyo, Im Ji Yeon, Park Sung Hoon, Lee Do Hyun, Yeom Hye Ran, Jung Sung Il"
10,Under the Queen's Umbrella ,"Historical, Comedy, Drama, Political","Motherhood, Mother-Son Relationship, Palace Setting, Black Comedy, Queen Female Lead, Joseon Dynasty, Royal Family, Royalty, Historical Fiction, Prince Supporting Character","Within the palace exist troublemaking princes who cause nothing but headaches for the royal family and are about to be turned into proper crown princes. Their mother, Im Hwa Ryeong, is the wife of a great king. But instead of having an aura of elegance and grace, she is a prickly, sensitive, and hot-tempered queen. Once more serene, she changed since people kept pushing her buttons. She is a queen who sometimes abandons her pride and is even known to swear! Every day of her life is full of trials, but she withstands them all, for the sake of her children.",32,621,9,16,70,"18,516",10/15/2022,12/4/2022,"Saturday, Sunday","Kim Hye Soo, Choi Won Young, Moon Sang Min, Chani, Kim Hae Sook, Kim Eui Sung, Ok Ja Yeon"
11,Prison Playbook ,"Comedy, Crime, Life, Drama","Life Lesson, Bromance, Wrongfully Accused, Strong Male Lead, Slight Romance, Character Development, Murder, Prison Setting, Black Comedy, Baseball","Kim Je Hyuk, a famous baseball player, is arrested after using excessive force while chasing a man trying to sexually assault his sister. Shockingly to him and the rest of the nation, he is sentenced to a year in prison. There, he meets his childhood friend and fellow baseball player, Lee Joon Ho, who gave up on baseball after a car accident, but now is a prison guard and one of Je Hyuk's biggest fans. The drama revolves around Je Hyuk's time in prison, as well as the prisoners he meets and events that take place there.",40,88,9,16,92,"65,379",11/22/2017,1/18/2018,"Wednesday, Thursday","Park Hae Soo, Jung Kyung Ho"
12,Mr. Queen ,"Historical, Comedy, Romance, Fantasy","Transmigration, Sassy Female Lead, Joseon Dynasty, Smart Male Lead, Calm Male Lead, Time Travel, Eccentric Female Lead, Gender Swap, Identity Crisis, Power Struggle","Jang Bong Hwan is a South Korean chef who has risen up the ranks to cook for the country’s top politicians in the Blue House’s presidential residences. After a serious accident, he finds himself in the body of the young queen, Kim So Yong, when whisked away to an era deep in Korea’s past.
While Queen Kim So Yong’s husband is the reigning monarch, King Cheol Jong, he is so in name only. The late King Sunjo’s Queen, Sun Won, has taken advantage of King Cheol Jong’s better nature, and is ruling the realm in his name. And she faces competition from her own brother, Kim Jwa Guen, who also has designs on power.
Queen Kim So Yong will come to discover that her husband harbours some secrets, and is not as gentle and meek as he seems…",43,86,9,20,75,"66,296",12/12/2020,2/14/2021,"Saturday, Sunday","Shin Hye Sun, Kim Jung Hyun"
13,Alchemy of Souls Season 2: Light and Shadow ,"Action, Historical, Romance, Fantasy","Magical Power, Strong Male Lead, Birth Secret, Marriage Of Convenience, Smart Male Lead, Nice Male Lead, Transmigration, Fantasy World, Supernatural, Antihero Male Lead","Jang Uk returns from death, and three years later, the story of the mages unfolds anew. Jang Uk becomes a hunter of the soul-shifters when a young woman, a prisoner in her own home, seeks his help to reclaim her freedom.",44,281,9,10,81,"33,116",12/10/2022,1/8/2023,"Saturday, Sunday","Lee Jae Wook, Hwang Min Hyun, Yoo Joon Sang, Go Youn Jung, Shin Seung Ho, Oh Na Ra"
14,Mother ,"Thriller, Mystery, Psychological, Melodrama","Thriller, Mystery, Psychological, Melodrama
Tags: Mother-Daughter Relationship, Independent Female Lead, Smart Female Lead, Child Abuse, Adoption, Strong Female Lead, Suspense, Orphan Female Lead, Motherhood, Investigation ","Realizing one of her students is being abused, school teacher and bird researcher Soo Jin impulsively kidnaps the girl and acts as a substitute mother in an attempt to take care of her.",45,340,9,16,63,"28,984",1/24/2018,3/15/2018,"Wednesday, Thursday","Lee Bo Young, Lee Hye Young, Heo Yool"
15,Extraordinary Attorney Woo ,"Law, Romance, Life, Drama","Autistic Female Lead, Autism, Attorney Female Lead, Smart Female Lead, Workplace Setting, Nice Male Lead, Father-Daughter Relationship, Courtroom Setting, Single Mother/Father Supporting Character, Slow Burn Romance","Diagnosed with autism spectrum disorder, 27-year-old Woo Young Woo graduated at the top of her class from the prestigious Seoul National University for both college and law school due to her high IQ of 164, impressive memory, and creative thought process. Working as a lawyer, she finds herself struggling when it comes to social interactions.",49,75,9,16,77,"71,227",6/29/2022,8/18/2022,"Wednesday, Thursday","Park Eun Bin, Kang Ki Young, Kang Tae Oh"
16,Crash Landing on You ,"Military, Comedy, Romance, Political","North And South Korea, Strong Male Lead, Rich Female Lead, Nice Male Lead, Fate, Calm Male Lead, Friendship, Strong Female Lead, Smart Female Lead, Cohabitation ","After getting into a paragliding accident, South Korean heiress Yoon Se Ri crash lands in North Korea. There, she meets North Korean army officer Ri Jung Hyuk, who agrees to help her return to South Korea. Despite the tension between their countries, the two of them start falling for one another.",50,8,9,16,85,"146,358",12/14/2019,2/16/2020,"Sunday, Saturday","Hyun Bin, Seo Ji Hye, Son Ye Jin, Kim Jung Hyun"
17,Navillera ,"Life, Drama","Ballet, Life Lesson, Unusual Friendship, Adapted From A Webtoon, Second Chance, Father-Son Relationship, Character Development, Grandpa-Granddaughter Relationship, Bromance, Kind Male Lead","A 70-year-old with a dream and a 23-year-old with a gift lift each other out of harsh realities and rise to the challenge of becoming ballerinos.
Shim Deok Chool has had a life long dreaming of performing ballet. He is 70-years-old and retired from his job as a post office employee. Due to life situations, he put aside his dream of becoming a ballet dancer and worked a normal job to support his family. Now, Shim Deok Chool makes the decision to pursue his dream again. His family, including his wife and adult children, are not happy with his decision, but Shim Deok Chool does not waver in pursuing his life long dream. He joins a ballet company to learn ballet. There, he meets Lee Chae Rok.
Lee Chae Rok is a 23-year-old man. While growing up, he played different sports like baseball, swimming, and soccer, but he wasn't talented in any of those activities. He then became interested in ballet. His mother was a ballet dancer, but she died from a disease when Lee Chae Rok was young. His father later went bankrupt. Lee Chae Rok learned that he has a talent for ballet, but, after pursuing ballet, he barely has contact with his father and he has a hard time supporting himself financially. Going through hard times, his desire for ballet fades away. At this time, Sim Deok Chool appears in front of him.",55,242,9,12,65,"36,739",3/22/2021,4/27/2021,"Monday, Tuesday","Park In Hwan, Song Kang"
18,Vincenzo ,"Comedy, Law, Crime, Drama","Revenge, Mafia, Eccentric Female Lead, Smart Male Lead, Slight Romance, Injustice, Bromance, Badass Male Lead, Father-Daughter Relationship, Smart Female Lead ","At the age of eight, Park Joo Hyeong left for Italy after being adopted. Now an adult, he is known as Vincenzo Cassano and employed by a Mafia family as a consigliere. Due to warring Mafia factions, he flies to South Korea where he gets involved with lawyer Hong Cha Young. She is the type of attorney who will do anything to win a case. Now back in his motherland, he gives an unrivalled conglomerate a taste of his own medicine—with a side of his own version of justice.",58,18,9,20,85,"113,443",2/20/2021,5/2/2021,"Saturday, Sunday","Song Joong Ki, Ok Taec Yeon, Jeon Yeo Been"
19,It's Okay to Not Be Okay ,"Psychological, Comedy, Romance, Drama","Possessive Female Lead, Independent Female Lead, Successful Female Lead, Melodrama, Healing, Selfless Male Lead, Badass Female Lead, Psychiatry, Childhood Connection, Trauma","Moon Gang Tae is a community health worker at a psychiatric ward who was blessed with everything including a great body, smarts, ability to sympathize with others, patience, ability to react quickly, stamina, and more. Meanwhile, Ko Moon Young is a popular writer of children’s literature who, due to suffering from an antisocial personality disorder, seems extremely selfish, arrogant, and rude.
Moon Gang Tae denies love and Ko Moon Young doesn’t know it. The two defy fate and fall in love, finding their souls and identities in the process.",60,7,8.9,16,75,"150,712",6/20/2020,8/9/2020,"Saturday, Sunday","Kim Soo Hyun, Oh Jung Se, Seo Yea Ji"
